"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 27, 2017","362.50","363.25","364.25","360.50","131.33K","-0.34%"
"Jan 30, 2017","357.75","361.50","361.75","355.75","185.50K","-1.31%"
"Jan 31, 2017","359.75","358.50","361.25","357.75","144.84K","0.56%"
"Feb 01, 2017","368.25","360.00","368.50","358.00","238.05K","2.36%"
"Feb 02, 2017","367.50","367.50","369.75","366.25","161.84K","-0.20%"
"Feb 03, 2017","365.25","365.75","367.75","364.00","131.49K","-0.61%"
"Feb 06, 2017","363.75","364.00","368.75","362.50","123.03K","-0.41%"
"Feb 07, 2017","368.50","363.75","369.00","362.50","201.07K","1.31%"
"Feb 08, 2017","370.75","368.00","371.00","366.50","215.52K","0.61%"
"Feb 09, 2017","369.50","369.50","372.75","367.50","302.88K","-0.34%"
"Feb 10, 2017","374.50","368.50","375.50","368.50","258.23K","1.35%"
"Feb 13, 2017","375.50","373.50","376.75","371.75","243.36K","0.27%"
"Feb 14, 2017","374.25","375.00","375.25","373.00","182.59K","-0.33%"
"Feb 15, 2017","378.75","374.00","379.00","371.75","234.39K","1.20%"
"Feb 16, 2017","373.50","378.00","380.00","373.00","202.51K","-1.39%"
"Feb 17, 2017","368.25","373.25","373.25","368.00","190.29K","-1.41%"
"Feb 21, 2017","369.25","368.50","370.75","366.50","192.46K","0.27%"
"Feb 22, 2017","371.00","369.25","372.75","369.25","167.70K","0.47%"
"Feb 23, 2017","365.50","370.50","371.75","365.25","176.31K","-1.48%"
